NID,Date of Announcement,Title,URL,Duration,Races Affected,Discount
78731,4/30/2020 0:00,Herald/Dragon Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/078731.html,"Start: 5/6/2020 (Wed) 23:00 PDT, End: 5/18/2020 (Mon) 7:59 PDT",Herald/Dragon,30%
77926,4/3/2020 0:40,Tyrant/Vile Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/077926.html,"Start: 4/8/2020 (Wed) 23:00 PDT, End: 4/20/2020 (Mon) 7:59 PDT",Tyrant/Vile,30%
77222,2/27/2020 23:00,Fury/Drake Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/077222.html,"Start: 3/4/2020 (Wed) 22:00 PST, End: 3/16/2020 (Mon) 7:59 PDT",Fury/Drake,30%
76490,1/30/2020 23:00,Megami/Jirae Fusion 30% OFF Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/076490.html,"Start:  2/5/2020 (Wed) 22:30 PST, End: 2/17/2020 (Mon) 6:59 PST",Megami/Jirae,30%
75579,1/1/2020 23:00,All Fusion for 4?/5? demons is applicable! Fusion Cost Down Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/075579.html,"Start: 1/8/2020 (Wed) 22:00 PST, End: 1/20/2020 (Mon) 6:59 PST",All Races,20%
74863,11/27/2019 23:50,Deity/Avatar Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/074863.html,"Start: 12/4/2019 (Wed) 22:30 PST, End: 12/16/2019 (Mon) 6:59 PST",Deity/Avatar,30%
74008,10/27/2019 23:00,Jaki/Snake Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/074008.html,"Start: 10/30/2019 (Wed) 22:00 PST, End: 11/13/2019 (Wed) 6:59 PST",Jaki/Snake,30%
73200,10/3/2019 0:30,Vile/Tyrant Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/073200.html,"Start: 10/10/2019 (Thu) 0:59 PST, End: 10/23/2019 (Wed) 6:59 PST",Vile/Tyrant,30%
71509,8/14/2019 0:00,More Demons Applicable for Discount! Fusion Cost Down Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/071509.html,"Start: 8/19/2019 (Mon) 8:00 PDT, End: 8/31/2019 (Sat) 7:59 PDT",All Races,20%
69730,6/13/2019 23:55,(From 6/20) Megami/Avian Fusion 30% OFF Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/069730.html,"Start: 6/20/2019 (Thu) 23:00 PDT, End: 7/1/2019 (Mon) 7:59 PDT",Megami/Avian,30%
67670,4/19/2019 5:00,(From 4/24) Tyrant/Lady Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/067670.html,"Start: 4/24/2019 (Wed) 23:00 PDT, End: 5/6/2019 (Mon) 7:59 PDT",Tyrant/Lady,30%
64974,2/26/2019 19:00,(From 2/28) Vile/Jaki Fusion 30% OFF Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/064974.html,"Start: 2/28/2019 (Thu) 0:00 PST, End: 3/13/2019 (Wed) 23:59 PDT",Vile/Jaki,30%
63531,1/29/2019 19:00,(From 1/31) Fury/Avatar Fusion 30% OFF Event Coming Soon!,https://d2-megaten-l.sega.com/en/news/detail/063531.html,"Start: 1/31/2019 (Thu) 2:00 PST, End: 2/13/2019 (Wed) 23:59 PST",Fury/Avatar,30%
61947,12/25/2018 19:00,(From 12/27) Race Specified! Fusion Cost 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/061947.html,"Start: 12/27/2018 (Thu) 0:00 PST, End: 1/9/2019 (Wed) 23:59 PST",All Races,30%
60826,12/4/2018 19:00,(Updated 12/13) Tyrant/Megami Fusion 30% OFF Event Coming Soon! ,https://d2-megaten-l.sega.com/en/news/detail/060826.html,"Start: 12/13/2018 (Thu) 2:00 PST, End: 12/12/2018 (Wed) 20:59 PST",Tyrant/Megami,30%
58343,10/16/2018 19:00,"New Demon Race ""Jaki"" Debut Campaign!",https://d2-megaten-l.sega.com/en/news/detail/058343.html,"Start: 10/18/2018 (Thu) 2:30 PDT, End: 11/1/2018 (Thu) 23:59 PDT",Jaki,50%
